population[million],1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
COM,0.188732,0.191828,0.19496,0.198205,0.201665,0.205412,0.209536,0.214038,0.218794,0.223629,0.228443,0.233125,0.237797,0.242875,0.248921,0.256309,0.265234,0.275496,0.286583,0.297765,0.308518,0.318659,0.328355,0.337853,0.347548,0.357729,0.368443,0.379589,0.391133,0.403003,0.415144,0.427556,0.440252,0.453188,0.466309,0.479574,0.492979,0.506525,0.52018,0.533909,0.547696,0.561525,0.575428,0.5895,0.603869,0.618632,0.633814,0.649404,0.665414,0.681845,0.698695,0.715972,0.733661,0.751697,0.769991,0.788474
CPV,0.202316,0.205958,0.210866,0.216913,0.223854,0.231427,0.239765,0.248733,0.257478,0.264885,0.270197,0.273053,0.273788,0.273211,0.272509,0.272575,0.273625,0.275479,0.278152,0.281555,0.285599,0.290428,0.296071,0.302174,0.308251,0.313976,0.319161,0.323972,0.328861,0.334473,0.341256,0.349326,0.358473,0.368423,0.378763,0.389156,0.399508,0.409805,0.419884,0.429576,0.438737,0.447357,0.455396,0.462675,0.468985,0.474224,0.478265,0.481278,0.483824,0.486673,0.490379,0.495159,0.50087,0.507258,0.513906,0.520502
CRI,1.333042,1.38192,1.432583,1.484512,1.537035,1.589625,1.642189,1.694711,1.74687,1.798315,1.848873,1.898366,1.947048,1.995744,2.04558,2.09741,2.151492,2.207727,2.266153,2.326708,2.389309,2.454127,2.521163,2.589932,2.659772,2.730231,2.800986,2.872214,2.94456,3.018953,3.095994,3.175654,3.257463,3.341005,3.425692,3.510925,3.596733,3.682725,3.767369,3.848725,3.92545,3.9968,4.063208,4.12597,4.187039,4.247843,4.30879,4.369465,4.429506,4.488261,4.545273,4.600487,4.654148,4.706433,4.757606,4.80785
CUB,7.141129,7.289828,7.450404,7.618359,7.787149,7.951928,8.110428,8.263547,8.413329,8.563191,8.715123,8.869961,9.025299,9.176051,9.315371,9.438445,9.544268,9.634677,9.711393,9.777287,9.835177,9.884219,9.925618,9.966733,10.017061,10.08299,10.167998,10.269276,10.37908,10.48611,10.582082,10.664577,10.735775,10.797556,10.853435,10.906048,10.955372,11.000431,11.041893,11.080506,11.116787,11.151472,11.18454,11.214837,11.24068,11.261052,11.275199,11.284043,11.290239,11.297442,11.308133,11.32357,11.342631,11.362505,11.379111,11.389562
CUW,0.124826,0.126125,0.128414,0.13086,0.133148,0.135266,0.136682,0.13814,0.140298,0.142581,0.144739,0.147389,0.14771,0.146912,0.148351,0.149129,0.149399,0.149459,0.148341,0.147851,0.148041,0.148629,0.150101,0.151159,0.15194,0.152711,0.152662,0.151456,0.149254,0.146937,0.1454,0.144403,0.143912,0.144299,0.14463,0.145139,0.146306,0.146956,0.144472,0.139428,0.13386,0.129047,0.129205,0.131897,0.134192,0.137658,0.141239,0.144056,0.14588,0.146833,0.148703,0.150831,0.152088,0.153822,0.155909,0.15804
CYM,0.007867,0.008026,0.008142,0.008228,0.008299,0.008371,0.008442,0.008518,0.008632,0.008831,0.009144,0.009583,0.010137,0.010785,0.011494,0.012238,0.01302,0.01384,0.014663,0.015447,0.016164,0.016795,0.017357,0.017911,0.018543,0.019315,0.020254,0.021343,0.022539,0.023776,0.025009,0.026211,0.027402,0.028652,0.030055,0.031672,0.033535,0.035596,0.037742,0.03981,0.041685,0.043317,0.044742,0.046032,0.047299,0.048623,0.050028,0.05148,0.052925,0.054285,0.055509,0.05658,0.057522,0.058369,0.059172,0.059967
CYP,0.572929,0.576395,0.577691,0.577912,0.578629,0.580971,0.585311,0.591304,0.598491,0.606117,0.613619,0.62086,0.628,0.635109,0.642335,0.649755,0.657526,0.665528,0.673252,0.680013,0.685406,0.689173,0.691711,0.694074,0.697717,0.703693,0.71234,0.72338,0.736477,0.751047,0.766611,0.783138,0.80066,0.818814,0.837166,0.855389,0.873246,0.890733,0.90804,0.925491,0.943287,0.961482,0.979883,0.99815,1.015827,1.032586,1.048293,1.06304,1.07701,1.090486,1.103685,1.116644,1.129303,1.141652,1.153658,1.1653
CZE,9.602006,9.586651,9.62466,9.670685,9.727804,9.779358,9.82104,9.852899,9.876346,9.89658,9.858071,9.826815,9.867632,9.922266,9.988459,10.05862,10.125939,10.186755,10.242098,10.292341,10.304193,10.300591,10.314826,10.323856,10.330213,10.337118,10.342227,10.347318,10.355276,10.361068,10.333355,10.308578,10.319123,10.329855,10.333587,10.327253,10.315241,10.304131,10.294373,10.28386,10.255063,10.216605,10.196916,10.193998,10.197101,10.211216,10.238905,10.298828,10.384603,10.443936,10.47441,10.496088,10.510785,10.514272,10.525347,10.551219
DEU,72.8149,73.377632,74.025784,74.714353,75.318337,75.963695,76.600311,76.951336,77.294314,77.909682,78.169289,78.312842,78.688452,78.936666,78.967433,78.673554,78.33695,78.159814,78.09182,78.12635,78.288576,78.407907,78.333366,78.128282,77.858685,77.684873,77.720436,77.83992,78.144619,78.751283,79.433029,80.013896,80.624598,81.156363,81.438348,81.678051,81.914831,82.034771,82.047195,82.100243,82.211508,82.349925,82.488495,82.534176,82.51626,82.469422,82.376451,82.266372,82.110097,81.902307,81.77693,81.797673,80.425823,82.132753,80.9825,81.413145
DJI,0.083636,0.088499,0.0942,0.100622,0.107584,0.114963,0.122868,0.131403,0.140461,0.149891,0.159667,0.16937,0.179212,0.190536,0.205157,0.224182,0.248619,0.277622,0.308213,0.336254,0.35896,0.374683,0.384743,0.392908,0.404589,0.42347,0.451068,0.485565,0.523266,0.55881,0.588356,0.610679,0.627063,0.639215,0.649878,0.661076,0.673202,0.685644,0.698256,0.710652,0.722562,0.734088,0.745459,0.756656,0.767644,0.778406,0.788941,0.799309,0.809639,0.820097,0.830802,0.841802,0.853069,0.864554,0.876174,0.887861
DMA,0.060016,0.061035,0.061984,0.06292,0.063921,0.065038,0.066305,0.067682,0.069042,0.070212,0.071076,0.071566,0.071737,0.071745,0.071811,0.072091,0.072648,0.073411,0.074239,0.074923,0.075313,0.075376,0.075168,0.07475,0.074215,0.07364,0.073025,0.072368,0.071743,0.071242,0.070928,0.070849,0.070978,0.071205,0.071372,0.071367,0.071146,0.070756,0.070295,0.069902,0.069679,0.06966,0.069806,0.070058,0.070325,0.070542,0.07069,0.070795,0.070881,0.070995,0.071167,0.071402,0.071685,0.072005,0.072341,0.07268
DNK,4.579603,4.611687,4.647727,4.684483,4.722072,4.759012,4.797381,4.835354,4.864883,4.89186,4.928757,4.963126,4.991596,5.021861,5.045297,5.059862,5.072596,5.088419,5.104248,5.116801,5.123027,5.121572,5.11781,5.114297,5.111619,5.113691,5.120534,5.127024,5.129516,5.132594,5.140939,5.154298,5.17137,5.188628,5.20618,5.233373,5.263074,5.284991,5.304219,5.321799,5.339616,5.358783,5.375931,5.390574,5.404523,5.419432,5.437272,5.461438,5.493621,5.523095,5.547683,5.570572,5.591572,5.614932,5.643475,5.676002
DOM,3.294039,3.406299,3.521276,3.638628,3.757962,3.878952,4.001377,4.125107,4.250026,4.376056,4.503114,4.631114,4.759935,4.889437,5.019471,5.149934,5.280727,5.411867,5.54352,5.67593,5.809271,5.943591,6.078816,6.214857,6.351572,6.488857,6.626544,6.764623,6.903314,7.04294,7.183646,7.325622,7.468551,7.611463,7.753052,7.89242,8.029114,8.163474,8.296375,8.429116,8.562623,8.697127,8.832286,8.967759,9.102997,9.237565,9.371333,9.504336,9.636491,9.767737,9.897983,10.02714,10.155036,10.281408,10.405943,10.528391
DZA,11.124892,11.404859,11.690152,11.98513,12.295973,12.626953,12.980269,13.354197,13.744383,14.144437,14.550033,14.960111,15.377095,15.804428,16.247113,16.709098,17.190236,17.690184,18.212331,18.760761,19.337723,19.943667,20.575701,21.228288,21.893857,22.565908,23.241276,23.917889,24.591493,25.257671,25.912364,26.554277,27.180921,27.785977,28.362015,28.9043,29.411839,29.887717,30.33688,30.766551,31.183658,31.59032,31.990387,32.394886,32.817225,33.267887,33.749328,34.261971,34.811059,35.40179,36.036159,36.717132,37.439427,38.186135,38.934334,39.666519
ECU,4.545548,4.676858,4.812892,4.953735,5.09947,5.25012,5.405692,5.566057,5.730908,5.899842,6.07252,6.248831,6.428707,6.611916,6.798205,6.987393,7.179399,7.374235,7.571953,7.772652,7.976449,8.183194,8.392935,8.606214,8.823746,9.045977,9.272905,9.504132,9.739179,9.97738,10.218085,10.460988,10.70567,10.9512,11.196476,11.440576,11.68348,11.924991,12.163887,12.398691,12.628596,12.852753,13.072056,13.2896,13.509645,13.735232,13.96749,14.205479,14.4476,14.69131,14.934692,15.17728,15.419493,15.661312,15.902916,16.144363
EGY,27.072397,27.810001,28.560741,29.322709,30.094082,30.872982,31.660914,32.456565,33.252275,34.038147,34.808599,35.561087,36.302154,37.046807,37.815578,38.62441,39.478585,40.377668,41.324806,42.32174,43.369552,44.465918,45.61043,46.807221,48.061546,49.373806,50.748187,52.17384,53.617678,55.035937,56.397273,57.689828,58.922018,60.108373,61.272847,62.434527,63.595629,64.754566,65.922626,67.112877,68.334905,69.599945,70.90871,72.247626,73.596068,74.942115,76.274285,77.605327,78.976122,80.442443,82.040994,83.787634,85.660902,87.613909,89.57967,91.508084
ERI,1.407631,1.441297,1.476321,1.512671,1.550297,1.589187,1.629333,1.670821,1.713846,1.758668,1.80548,1.854395,1.905406,1.958444,2.013382,2.070145,2.128597,2.188806,2.251129,2.316054,2.383858,2.453689,2.525005,2.598626,2.675717,2.756493,2.843141,2.933871,3.020278,3.091083,3.139083,3.160644,3.160617,3.150811,3.147871,3.164095,3.202598,3.260612,3.337227,3.429656,3.535156,3.655006,3.788532,3.928408,4.064958,4.191273,4.30444,4.406299,4.500638,4.593549,4.689664,4.789568,,,,
ESP,30.455,30.73925,31.023366,31.296651,31.609195,31.954292,32.283194,32.682947,33.113134,33.441054,33.814531,34.191678,34.502705,34.817071,35.154338,35.530725,35.939437,36.37005,36.872506,37.201123,37.439035,37.740556,37.942805,38.122429,38.278575,38.418817,38.535617,38.63082,38.715849,38.791473,38.850435,38.939049,39.067745,39.1894,39.294967,39.387017,39.478186,39.582413,39.721108,39.926268,40.263216,40.756001,41.431558,42.187645,42.921895,43.653155,44.397319,45.226803,45.954106,46.362946,46.576897,46.742697,46.773055,46.620045,46.480882,46.418269
EST,1.211537,1.225077,1.241623,1.258857,1.277086,1.294566,1.308597,1.318946,1.331214,1.345249,1.360076,1.376955,1.392518,1.405951,1.418169,1.429352,1.439576,1.450211,1.460188,1.468333,1.477219,1.487666,1.498414,1.508745,1.518617,1.528781,1.54019,1.552221,1.5619,1.568131,1.569174,1.561314,1.533091,1.494128,1.462514,1.436634,1.415594,1.399535,1.386156,1.38062,1.396985,1.388115,1.37935,1.37072,1.36255,1.354775,1.34681,1.34068,1.33709,1.334515,1.331475,1.327439,1.322696,1.317997,1.314545,1.311998
ETH,22.151218,22.671131,23.221331,23.798378,24.396965,25.013551,25.641176,26.280771,26.945459,27.653622,28.414999,29.24617,30.135007,31.028728,31.855294,32.568539,33.144537,33.614153,34.053431,34.569428,35.239974,36.093319,37.109517,38.259376,39.493503,40.775997,42.097111,43.470219,44.908705,46.433604,48.057094,49.784987,51.602776,53.477944,55.366517,57.237226,59.076414,60.893264,62.707547,64.550161,66.443603,68.393128,70.39117,72.43229,74.506974,76.608431,78.735675,80.891968,83.079608,85.302099,87.561814,89.858696,92.191211,94.558374,96.958732,99.39075
FIN,4.429634,4.461005,4.491443,4.523309,4.548543,4.563732,4.580869,4.605744,4.626469,4.623785,4.606307,4.612124,4.639657,4.666081,4.690574,4.71144,4.725664,4.738902,4.752528,4.76469,4.779535,4.799964,4.826933,4.855787,4.881803,4.902206,4.918154,4.932123,4.946481,4.964371,4.986431,5.01374,5.041992,5.066447,5.088333,5.10779,5.124573,5.139835,5.153498,5.165474,5.176209,5.188008,5.200598,5.213014,5.228172,5.246096,5.266268,5.28872,5.313399,5.338871,5.363352,5.388272,5.413971,5.438972,5.461512,5.482013
FJI,0.393383,0.407152,0.421576,0.436208,0.450452,0.463884,0.476329,0.487911,0.498887,0.509659,0.520529,0.531601,0.542811,0.554109,0.565386,0.576592,0.587523,0.598258,0.609348,0.621541,0.635256,0.650957,0.668196,0.685389,0.700366,0.711663,0.718548,0.721725,0.722918,0.724624,0.728626,0.735469,0.744534,0.755024,0.765666,0.775498,0.784479,0.792859,0.800314,0.806494,0.811223,0.814215,0.815691,0.816626,0.818355,0.82182,0.82739,0.834729,0.843206,0.851854,0.859952,0.867327,0.874158,0.880487,0.88645,0.892145
FRA,46.814237,47.444751,48.119649,48.80368,49.449403,50.023774,50.508717,50.915456,51.276054,51.63826,52.035095,52.480421,52.959228,53.441264,53.882416,54.252574,54.541493,54.764462,54.947975,55.130594,55.340782,55.585824,55.858727,56.156284,56.470769,56.795686,57.132691,57.482591,57.836486,58.182702,58.512808,58.559312,58.851216,59.106766,59.327194,59.5419,59.753098,59.964845,60.186291,60.496715,60.912498,61.357431,61.805267,62.244884,62.704897,63.179356,63.621376,64.016229,64.37499,64.707044,65.027512,65.342776,65.65979,65.972097,66.49594,66.808385
FRO,0.034266,0.03473,0.035153,0.03555,0.035946,0.036363,0.036804,0.037258,0.037718,0.038164,0.038587,0.038983,0.03936,0.039731,0.040116,0.040529,0.040974,0.041447,0.041946,0.042468,0.04301,0.043559,0.044105,0.044661,0.045239,0.04584,0.046501,0.047194,0.047789,0.048105,0.048031,0.047494,0.046574,0.045501,0.0446,0.044099,0.044081,0.044467,0.045126,0.045852,0.046491,0.047012,0.047452,0.047812,0.048103,0.048337,0.048505,0.048599,0.048629,0.048613,0.048567,0.048492,0.048393,0.048292,0.048221,0.048199
FSM,0.044539,0.045956,0.047387,0.048875,0.050483,0.052238,0.054201,0.056324,0.058404,0.060167,0.061433,0.062107,0.062298,0.062289,0.062477,0.063146,0.064386,0.06611,0.068221,0.07055,0.072967,0.075462,0.078057,0.080678,0.083242,0.085689,0.087948,0.090024,0.09202,0.094091,0.096331,0.0988,0.101412,0.103937,0.106057,0.107556,0.108342,0.108506,0.108236,0.107808,0.10743,0.10717,0.106983,0.106816,0.106575,0.106198,0.10568,0.10508,0.104472,0.103961,0.103619,0.103476,0.103516,0.103718,0.104044,0.10446
GAB,0.499189,0.504174,0.509806,0.51627,0.523793,0.532512,0.542562,0.553829,0.565878,0.578114,0.590119,0.601734,0.613129,0.624625,0.636702,0.649719,0.663774,0.678786,0.694734,0.711544,0.729165,0.747593,0.766867,0.787017,0.808088,0.830091,0.853039,0.876877,0.901473,0.926648,0.952269,0.978252,1.004598,1.031358,1.058625,1.086449,1.114879,1.143838,1.173114,1.202412,1.231548,1.260435,1.289192,1.318093,1.347524,1.377777,1.40892,1.440902,1.473741,1.507428,1.541936,1.577298,1.613489,1.650351,1.687673,1.725292
GBR,52.4,52.8,53.25,53.65,54.0,54.34805,54.6485,54.9436,55.2117,55.44175,55.66325,55.896223,56.086065,56.194527,56.229974,56.2258,56.211968,56.193492,56.196504,56.246951,56.314216,56.333829,56.313641,56.332848,56.422072,56.550268,56.681396,56.80205,56.928327,57.076711,57.247586,57.424897,57.580402,57.718614,57.865745,58.01903,58.16695,58.316954,58.487141,58.682466,58.892514,59.119673,59.370479,59.647577,59.987905,60.401206,60.84682,61.322463,61.806995,62.27627,62.766365,63.258918,63.7003,64.128226,64.61316,65.138232
GEO,3.6456,3.7036,3.7603,3.8161,3.8703,3.9216,3.9667,4.0058,4.0423,4.0803,3.9678,4.0094,4.2053,4.2425,4.2795,4.3112,4.3424,4.3721,4.3977,4.4302,4.4677,4.5045,4.5428,4.5829,4.6222,4.6629,4.7045,4.7435,4.7907,4.8033,4.802,4.8359,4.8735,4.9111,4.8616,4.734,4.6161,4.5316,4.4873,4.4525,4.4183,4.3864,4.357,4.301,4.245,4.19,4.136,4.082,4.03,3.978,3.926,3.875,3.825,3.776,3.727,3.679
GHA,6.652285,6.866545,7.085463,7.303432,7.513286,7.710547,7.890992,8.057442,8.221021,8.397346,8.596977,8.827273,9.083575,9.350111,9.60428,9.831409,10.023471,10.189889,10.35449,10.55077,10.802025,11.117608,11.488112,11.89513,12.311166,12.716238,13.103975,13.480381,13.852597,14.232493,14.62826,15.042736,15.471527,15.907244,16.339344,16.760991,17.169214,17.568583,17.969006,18.384426,18.824994,19.293804,19.788181,20.305396,20.840493,21.389514,21.951891,22.528041,23.115919,23.713164,24.317734,24.928503,25.544565,26.164432,26.786598,27.409893
GIB,0.021529,0.021797,0.022133,0.02251,0.022894,0.023256,0.02359,0.023901,0.024185,0.024438,0.024661,0.024844,0.024991,0.025121,0.025266,0.025443,0.025666,0.025922,0.026185,0.026409,0.026568,0.026651,0.026671,0.02665,0.026621,0.026611,0.026623,0.026653,0.0267,0.02676,0.026833,0.026924,0.027035,0.027146,0.027235,0.027285,0.027284,0.027246,0.027211,0.027233,0.027351,0.02758,0.027903,0.02829,0.028694,0.02908,0.029437,0.02977,0.030089,0.030407,0.030732,0.031067,0.031402,0.03172,0.031997,0.032217
GIN,3.577413,3.633778,3.69096,3.74992,3.812004,3.877804,3.948206,4.02188,4.094528,4.160375,4.215442,4.259102,4.293208,4.319502,4.340748,4.359735,4.376768,4.393551,4.416074,4.451872,4.506559,4.584305,4.684992,4.80474,4.93723,5.078689,5.223553,5.375058,5.54827,5.763843,6.034082,6.36711,6.751394,7.155564,7.536389,7.863033,8.124799,8.331366,8.497582,8.647336,8.799165,8.955756,9.114287,9.281572,9.464771,9.669023,9.898301,10.152521,10.427356,10.71577,11.012406,11.316351,11.628767,11.948726,12.275527,12.60859
GMB,0.367929,0.376736,0.383525,0.38907,0.394552,0.400865,0.408182,0.416342,0.425509,0.4358,0.447283,0.460193,0.474538,0.48986,0.505512,0.52107,0.536409,0.551823,0.567828,0.585155,0.604371,0.625413,0.648202,0.67323,0.701097,0.732092,0.766598,0.804134,0.84306,0.881146,0.916811,0.94949,0.979701,1.008296,1.036627,1.065746,1.095839,1.126786,1.159001,1.19292,1.228863,1.267103,1.307674,1.350345,1.394727,1.440542,1.487731,1.536424,1.586749,1.638899,1.693002,1.749099,1.807108,1.866878,1.928201,1.990924
GNB,0.616407,0.623413,0.629973,0.636593,0.643962,0.652566,0.662597,0.673893,0.686155,0.698917,0.711828,0.724863,0.738117,0.751512,0.764974,0.778482,0.791959,0.805481,0.819371,0.834068,0.849886,0.866947,0.885166,0.904391,0.924378,0.944941,0.966039,0.987718,1.009967,1.032797,1.056208,1.080191,1.104708,1.129706,1.155111,1.180877,1.207006,1.23352,1.260424,1.287727,1.315455,1.343646,1.372367,1.401716,1.431816,1.462784,1.494603,1.527342,1.561293,1.596832,1.634196,1.673509,1.71462,1.757138,1.800513,1.844325
GNQ,0.252115,0.2551,0.25794,0.26099,0.264743,0.269427,0.27547,0.282445,0.288701,0.292014,0.290905,0.284915,0.274906,0.262399,0.249587,0.23824,0.228491,0.220352,0.215284,0.215014,0.220605,0.232934,0.251301,0.273199,0.29509,0.314407,0.330247,0.34329,0.354488,0.365451,0.377363,0.390381,0.404081,0.418409,0.433197,0.448332,0.463844,0.479836,0.49633,0.513347,0.530896,0.549007,0.567664,0.586772,0.606201,0.625866,0.645718,0.665798,0.686223,0.707155,0.72871,0.750918,0.773729,0.797082,0.820885,0.84506
GRC,8.331725,8.39805,8.448233,8.479625,8.510429,8.550333,8.613651,8.684088,8.740765,8.772764,8.792806,8.831036,8.888628,8.929086,8.962022,9.046541,9.18815,9.308479,9.429959,9.548258,9.642505,9.72935,9.789513,9.846627,9.895801,9.9343,9.967213,10.000595,10.036983,10.089498,10.196792,10.319927,10.399061,10.460415,10.512922,10.562153,10.6088,10.661259,10.720509,10.761698,10.805808,10.862132,10.902022,10.92807,10.955141,10.987314,11.020362,11.048473,11.077841,11.107017,11.121341,11.104899,11.045011,10.965211,10.892413,10.823732
GRD,0.089861,0.09126,0.092424,0.093354,0.094066,0.094579,0.094878,0.094962,0.094875,0.094682,0.09443,0.09418,0.093937,0.093629,0.093151,0.092453,0.091435,0.090187,0.08907,0.088571,0.089004,0.090575,0.093091,0.095981,0.09844,0.099907,0.100146,0.099381,0.098063,0.096871,0.096286,0.096455,0.097201,0.098302,0.099403,0.100253,0.100796,0.101125,0.101302,0.101441,0.10162,0.101849,0.1021,0.102371,0.102657,0.102951,0.103259,0.103587,0.103934,0.104298,0.104677,0.10507,0.105476,0.105902,0.106349,0.106825
GRL,0.0325,0.0337,0.035,0.0364,0.0376,0.0392,0.0405,0.0419,0.0434,0.0449,0.0464,0.0472,0.0483,0.049,0.0495,0.0496,0.0497,0.0494,0.0492,0.0496,0.0502,0.051,0.0515,0.0521,0.0527,0.0532,0.0535,0.0541,0.0548,0.0553,0.0556,0.0555,0.0553,0.0552,0.0555,0.0558,0.0559,0.056,0.0561,0.0561,0.0562,0.05635,0.056609,0.056765,0.056911,0.056935,0.056774,0.056555,0.056328,0.056323,0.056905,0.05689,0.05681,0.056483,0.056295,0.056114
GTM,4.127555,4.240084,4.356579,4.476923,4.600846,4.728203,4.85888,4.993104,5.131461,5.274726,5.423384,5.577824,5.73772,5.90198,6.069077,6.237963,6.408029,6.57971,6.754258,6.933492,7.118628,7.310397,7.508161,7.710142,7.913814,8.117499,8.320498,8.523785,8.729406,8.940285,9.158547,9.385,9.619113,9.860063,10.106463,10.357354,10.6123,10.871786,11.136814,11.408815,11.68866,11.976725,12.272208,12.573346,12.877711,13.183505,13.490041,13.797629,14.106687,14.418033,14.732261,15.04928,15.368759,15.690793,16.015494,16.342897
GUM,0.066741,0.068073,0.069607,0.071289,0.073048,0.074827,0.076611,0.078409,0.080219,0.082042,0.08388,0.085728,0.087585,0.089463,0.091381,0.093354,0.095386,0.097476,0.099628,0.101846,0.104131,0.106486,0.108911,0.111405,0.113961,0.116576,0.119232,0.121924,0.124677,0.127525,0.130482,0.133553,0.136696,0.13982,0.142806,0.145562,0.14806,0.150306,0.152275,0.153951,0.155328,0.156417,0.157241,0.157823,0.158194,0.158401,0.158429,0.158332,0.15831,0.158621,0.15944,0.160858,0.162807,0.165121,0.167543,0.169885
GUY,0.564222,0.582034,0.600559,0.618887,0.635778,0.650379,0.662332,0.671986,0.680068,0.687658,0.695561,0.703811,0.712188,0.720919,0.730227,0.740167,0.751008,0.762445,0.773227,0.781677,0.786614,0.787728,0.785466,0.780367,0.773302,0.765043,0.755598,0.745149,0.734872,0.726237,0.720282,0.717502,0.717621,0.71991,0.72323,0.726695,0.730193,0.733854,0.737316,0.740189,0.742218,0.743163,0.743107,0.742537,0.742162,0.742495,0.743705,0.745638,0.748096,0.750749,0.753362,0.755883,0.75841,0.761033,0.763893,0.767085
HKG,3.075605,3.1681,3.3052,3.4209,3.5046,3.5979,3.6299,3.7228,3.8027,3.8639,3.959,4.0453,4.1236,4.2416,4.3342,4.4616,4.518,4.5837,4.6675,4.9297,5.0631,5.1834,5.2645,5.3451,5.3979,5.4562,5.5246,5.5905,5.6276,5.6862,5.7045,5.752,5.8005,5.901,6.0354,6.1561,6.4355,6.4893,6.5437,6.6065,6.665,6.7143,6.7441,6.7308,6.7835,6.8132,6.8571,6.9163,6.9578,6.9728,7.0242,7.0716,7.1546,7.1875,7.2417,7.3057
HND,2.002333,2.069085,2.139208,2.211144,2.282764,2.352637,2.420234,2.486288,2.5522,2.620014,2.691309,2.766444,2.84526,2.92819,3.015606,3.107735,3.204883,3.306988,3.413426,3.523283,3.635862,3.750843,3.868296,3.988371,4.111369,4.237436,4.366401,4.497875,4.631491,4.766802,4.903363,5.04105,5.179557,5.318042,5.455481,5.591136,5.724587,5.855946,5.985675,6.114534,6.24308,6.371304,6.499001,6.626304,6.753352,6.880181,7.007029,7.133737,7.25947,7.383098,7.503875,7.621414,7.736131,7.849059,7.96168,8.07506
HRV,4.14,4.171672,4.202104,4.231408,4.25968,4.287,4.313,4.339,4.364,4.387,4.411,4.435,4.457,4.478,4.497,4.514,4.53,4.532,4.556,4.571,4.588,4.608,4.635,4.659,4.68,4.701,4.722,4.74,4.757,4.767,4.78,4.51,4.47,4.64,4.65,4.669,4.494,4.572,4.501,4.554,4.426,4.44,4.44,4.44,4.439,4.442,4.44,4.436,4.434508,4.429078,4.417781,4.280622,4.267558,4.255689,4.238389,4.224404
HTI,3.86616,3.943363,4.022596,4.103732,4.186636,4.271133,4.357482,4.445531,4.534233,4.622209,4.708639,4.793157,4.876558,4.960655,5.047948,5.140357,5.238242,5.341418,5.45055,5.566265,5.688832,5.818673,5.955265,6.09669,6.24033,6.384196,6.527545,6.670566,6.813344,6.956301,7.099733,7.243391,7.386974,7.530703,7.674911,7.819806,7.965548,8.111954,8.258484,8.404396,8.549202,8.692564,8.834739,8.976555,9.119182,9.263409,9.409479,9.556958,9.70513,9.852953,9.999617,10.14489,10.288828,10.431249,10.572029,10.711067
HUN,9.983967,10.029321,10.061734,10.087947,10.119835,10.147935,10.178653,10.216604,10.255815,10.298723,10.33791,10.367537,10.398489,10.432055,10.47872,10.540525,10.598677,10.648031,10.684822,10.704152,10.711122,10.711848,10.705535,10.689463,10.668095,10.648713,10.630564,10.612741,10.596487,10.481719,10.373988,10.3734,10.369341,10.357523,10.343355,10.328965,10.311238,10.290486,10.26657,10.23753,10.210971,10.187576,10.158608,10.129552,10.107146,10.087065,10.07137,10.05578,10.038188,10.02265,10.000023,9.971727,9.920362,9.893082,9.866468,9.844686
IDN,87.792512,90.138235,92.558006,95.055669,97.638027,100.308896,103.067352,105.907403,108.821565,111.80009,114.834781,117.921994,121.059511,124.242299,127.465232,130.724118,134.010695,137.322122,140.665859,144.053516,147.490366,150.978841,154.506266,158.044343,161.555584,165.012195,168.402027,171.728916,175.000919,178.233231,181.436821,184.61474,187.762097,190.873248,193.939912,196.957845,199.926615,202.85385,205.753493,208.644079,211.540428,214.448301,217.369087,220.307809,223.268606,226.254703,229.26398,232.29683,235.360765,238.465165,241.613126,244.808254,248.037853,251.268276,254.454778,257.563815
IMY,0.048441,0.048353,0.04858,0.049089,0.049818,0.050713,0.051776,0.052995,0.054289,0.055554,0.056712,0.057711,0.058563,0.059326,0.060098,0.060941,0.0619,0.062934,0.063918,0.06468,0.065108,0.065128,0.064817,0.064404,0.064207,0.064446,0.065225,0.066449,0.067902,0.069265,0.070312,0.070963,0.071306,0.071486,0.071726,0.072181,0.072899,0.073817,0.074853,0.075879,0.076806,0.077608,0.078318,0.078975,0.079636,0.080345,0.08111,0.081914,0.082737,0.083548,0.084327,0.085069,0.085779,0.086462,0.087127,0.08778
IND,449.661874,458.691457,468.054145,477.729958,487.690114,497.92027,508.402908,519.162069,530.274729,541.844848,553.943226,566.605402,579.800632,593.451889,607.446519,621.703641,636.18281,650.907559,665.936435,681.358553,697.229745,713.561406,730.303461,747.374856,764.664278,782.085127,799.607235,817.232241,834.944397,852.73616,870.601776,888.513869,906.461358,924.475633,942.604211,960.874982,979.290432,997.81725,1016.402907,1034.976626,1053.481072,1071.88819,1090.189358,1108.369577,1126.419321,1144.326293,1162.088305,1179.685631,1197.070109,1214.182182,1230.984504,1247.446011,1263.589639,1279.498874,1295.291543,1311.050527
