population[million],1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
AUS,10.276477,10.483,10.742,10.95,11.167,11.388,11.651,11.799,12.009,12.263,12.507,12.937,13.177,13.38,13.723,13.893,14.033,14.192,14.358,14.514,14.692,14.927,15.178,15.369,15.544,15.758,16.0184,16.2639,16.5322,16.8144,17.0651,17.284,17.495,17.667,17.855,18.072,18.311,18.517,18.711,18.926,19.153,19.413,19.6514,19.8954,20.1274,20.3948,20.6979,20.8276,21.2492,21.6917,22.03175,22.340024,22.728254,23.117353,23.464086,23.781169
AUT,7.047539,7.086299,7.129864,7.175811,7.223801,7.270889,7.322066,7.376998,7.415403,7.441055,7.467086,7.500482,7.544201,7.586115,7.599038,7.578903,7.565525,7.56843,7.562305,7.549425,7.549433,7.56871,7.57414,7.56191,7.561434,7.564985,7.569794,7.574586,7.585317,7.619567,7.67785,7.754891,7.840709,7.905633,7.936118,7.948278,7.959017,7.968041,7.976789,7.992324,8.011566,8.042293,8.081957,8.121423,8.171966,8.227829,8.268641,8.295487,8.321496,8.343323,8.363404,8.391643,8.429991,8.479375,8.541575,8.611088
AZE,3.897889,4.03013,4.167558,4.307315,4.445653,4.579759,4.708485,4.832098,4.950977,5.06608,5.17816,5.287272,5.393176,5.496061,5.59616,5.693796,5.78905,5.882395,5.975045,6.068531,6.16399,6.261942,6.362289,6.464775,6.568857,6.674107,6.77997,6.886428,6.994139,7.104058,7.159,7.271,7.382,7.495,7.597,7.685,7.763,7.83825,7.913,7.98275,8.0486,8.1112,8.17195,8.2341,8.3065,8.39185,8.48455,8.5813,8.7634,8.947243,9.054332,9.173082,9.295784,9.416801,9.535079,9.651349
BDI,2.78674,2.840375,2.89451,2.950903,3.011957,3.079034,3.153879,3.235125,3.317315,3.392949,3.457113,3.507593,3.547335,3.582952,3.623853,3.676991,3.744696,3.825484,3.917866,4.018927,4.126544,4.239673,4.359122,4.486613,4.624617,4.774258,4.936429,5.108581,5.284173,5.454475,5.613141,5.759429,5.895131,6.019901,6.134041,6.23903,6.333415,6.420397,6.51192,6.623707,6.767073,6.94672,7.159918,7.401215,7.661613,7.934213,8.21807,8.514578,8.821795,9.137786,9.461117,9.790151,10.124572,10.465959,10.81686,11.178921
BEL,9.153489,9.183948,9.220578,9.28977,9.378113,9.463667,9.527807,9.580991,9.618756,9.646032,9.655549,9.673162,9.711115,9.74172,9.772419,9.8007,9.818227,9.830358,9.839534,9.848382,9.859242,9.858982,9.856303,9.85552,9.855372,9.858308,9.861823,9.870234,9.901664,9.937697,9.967379,10.004486,10.045158,10.084475,10.115603,10.136811,10.156637,10.181245,10.203008,10.226419,10.25125,10.28657,10.332785,10.376133,10.421137,10.478617,10.547958,10.6257,10.709973,10.796493,10.895586,11.047744,11.128246,11.182817,11.231213,11.285721
BEN,2.43162,2.466002,2.503232,2.543335,2.586362,2.63236,2.681382,2.73345,2.788551,2.846652,2.907769,2.971941,3.0393,3.110074,3.184547,3.262959,3.345501,3.432262,3.52327,3.618509,3.718024,3.822206,3.931355,4.045352,4.163968,4.287263,4.41445,4.546136,4.685375,4.83624,5.001271,5.182525,5.378226,5.58242,5.786794,5.985658,6.176318,6.361301,6.546493,6.740491,6.949366,7.174911,7.414744,7.665681,7.922796,8.182362,8.443717,8.707637,8.973525,9.240982,9.509798,9.779391,10.049792,10.322232,10.598482,10.879829
BFA,4.829291,4.894578,4.960325,5.027818,5.098892,5.174869,5.256363,5.34302,5.43404,5.528172,5.624597,5.723379,5.825171,5.930487,6.040044,6.154548,6.274037,6.398937,6.53082,6.671659,6.82284,6.985158,7.158256,7.340907,7.531244,7.727912,7.93069,8.140076,8.356306,8.579825,8.811033,9.05009,9.297116,9.552473,9.816586,10.089876,10.372809,10.665781,10.969093,11.283016,11.607944,11.94374,12.290984,12.651596,13.028039,13.421929,13.834195,14.264002,14.709011,15.165856,15.632066,16.106851,16.590813,17.084554,17.589198,18.10557
BGD,48.200702,49.59361,51.030604,52.532595,54.12939,55.83502,57.675529,59.625294,61.58552,63.42257,65.048701,66.41745,67.578486,68.658472,69.83796,71.247153,72.930206,74.848466,76.948378,79.141947,81.364176,83.599582,85.868228,88.181211,90.55954,93.015182,95.550798,98.149262,100.779551,103.400571,105.983136,108.509679,110.987459,113.442354,115.91371,118.427768,120.987124,123.574107,126.169583,128.746273,131.280739,133.776064,136.228456,138.600174,140.843786,142.929979,144.839238,146.592687,148.252473,149.905836,151.616777,153.405612,155.257387,157.157394,159.077513,160.995642
BGR,7.867374,7.943118,8.012946,8.078145,8.14434,8.204168,8.258057,8.310226,8.369603,8.434172,8.489574,8.536395,8.5762,8.620967,8.678745,8.720742,8.758599,8.804183,8.814032,8.82594,8.861535,8.891117,8.917457,8.939738,8.960679,8.960547,8.958171,8.971359,8.981446,8.876972,8.718289,8.632367,8.540164,8.472313,8.443591,8.406067,8.362826,8.312068,8.256786,8.210624,8.170172,8.020282,7.868468,7.823557,7.781161,7.7399,7.69902,7.545338,7.492561,7.444443,7.395599,7.348328,7.305888,7.265115,7.223938,7.177991
BHR,0.162501,0.167924,0.173107,0.178048,0.182774,0.187348,0.191782,0.196203,0.200953,0.206469,0.213102,0.220808,0.229588,0.23986,0.252139,0.266686,0.283843,0.303236,0.323511,0.342829,0.359902,0.374125,0.38595,0.396447,0.407223,0.419425,0.433487,0.448994,0.465235,0.481126,0.495944,0.509654,0.522748,0.535692,0.549151,0.56373,0.579855,0.597834,0.618054,0.640904,0.666855,0.694893,0.725365,0.761595,0.807989,0.867014,0.940808,1.026568,1.115777,1.196774,1.261319,1.306014,1.333577,1.349427,1.36193,1.377237
